Age,Gender_enc,Country,Current_Major,Opportunity_Duration,Apply_Lead_Days,Signup_Year,Signup_Month,engagement_score,churn,High_Engagement,Long_Duration
20,0,2,2,84,39,2024,11,4.96,0,0,1
21,0,3,4,87,37,2024,5,2.42,0,0,1
33,0,4,1,76,17,2024,6,5.19,0,0,1
32,1,3,2,67,74,2024,9,12.49,0,1,1
31,1,3,0,63,6,2024,10,10.47,1,1,1
27,1,0,0,28,36,2025,6,5.68,0,0,0
19,1,2,1,53,83,2026,2,6.7,0,0,0
32,1,2,0,18,35,2024,11,3.86,1,0,0
26,0,1,2,20,80,2026,1,4.84,1,0,0
22,1,3,1,17,18,2025,11,11.86,0,1,0
32,0,0,0,38,53,2024,7,6.73,0,0,0
20,1,3,3,108,66,2025,9,13.21,1,1,1
35,1,3,2,23,22,2025,6,11.59,0,1,0
19,1,2,0,86,64,2024,7,6.72,0,0,1
32,0,1,2,110,2,2025,12,4.94,1,0,1
34,0,3,4,114,12,2024,9,14.37,0,1,1
29,0,1,0,111,65,2025,7,12.36,0,1,1
30,1,3,0,12,45,2024,11,9.39,0,1,0
26,1,2,1,30,48,2025,9,1.56,0,0,0
19,1,1,3,83,73,2025,3,6.49,0,0,1
28,1,3,3,31,9,2024,12,8.47,0,1,0
34,0,2,4,110,90,2024,9,11.48,0,1,1
31,0,2,2,97,70,2024,6,13.23,1,1,1
25,1,1,0,117,20,2024,5,6.91,1,0,1
33,1,1,3,71,19,2025,5,12.61,0,1,1
24,0,0,2,77,44,2025,9,5.11,0,0,1
19,0,4,1,77,7,2025,7,14.59,0,1,1
23,0,1,1,16,48,2026,4,14.41,1,1,0
23,1,0,4,87,52,2025,12,4.2,0,0,1
25,0,2,2,68,47,2025,10,14.51,0,1,1
29,1,1,4,9,19,2025,6,10.8,0,1,0
24,0,0,4,52,69,2024,7,4.73,1,0,0
25,1,3,3,111,19,2024,12,11.24,0,1,1
28,0,3,0,79,13,2026,3,9.27,0,1,1
35,0,0,3,65,53,2024,12,8.05,1,1,1
20,1,0,1,79,3,2025,2,13.73,0,1,1
18,0,1,4,79,48,2024,7,10.82,0,1,1
20,1,4,4,29,57,2025,6,5.02,1,0,0
28,0,4,0,74,83,2026,4,8.8,0,1,1
18,1,1,4,23,65,2025,6,10.16,0,1,0
26,0,1,0,68,8,2025,12,10.84,0,1,1
29,0,3,3,69,21,2025,9,7.11,0,0,1
19,0,4,1,116,77,2026,5,1.49,0,0,1
25,1,1,4,27,23,2024,9,1.4,0,0,0
25,1,1,4,68,1,2024,10,9.49,0,1,1
25,1,3,3,82,82,2025,1,11.84,0,1,1
26,0,0,3,74,53,2025,10,1.72,0,0,1
32,0,1,4,16,60,2024,9,5.43,1,0,0
28,0,3,4,32,78,2025,10,14.85,0,1,0
30,1,3,4,27,42,2024,12,5.54,0,0,0
29,1,4,1,22,74,2026,3,5.75,0,0,0
31,1,2,3,69,49,2024,7,8.7,0,1,1
21,1,2,2,17,43,2026,3,4.35,1,0,0
27,0,4,1,81,27,2024,10,8.54,0,1,1
30,1,1,3,54,61,2025,9,6.53,0,0,0
18,0,1,1,87,82,2025,3,1.07,0,0,1
35,1,4,3,58,79,2024,9,3.02,1,0,0
32,0,2,2,24,2,2025,3,9.66,1,1,0
26,1,1,2,87,53,2025,6,14.71,0,1,1
28,1,4,2,32,47,2026,2,7.49,0,0,0
21,0,1,2,95,74,2025,11,9.05,0,1,1
19,1,2,4,53,11,2024,8,7.09,0,0,0
22,0,1,1,105,38,2026,4,8.84,0,1,1
28,0,1,2,79,54,2024,9,6.53,0,0,1
19,1,2,4,59,50,2024,7,2.16,0,0,0
30,0,3,4,44,90,2025,7,7.19,0,0,0
34,1,0,3,80,60,2024,7,6.23,0,0,1
21,0,3,0,53,50,2025,1,8.44,0,1,0
19,1,0,0,18,71,2026,2,5.7,1,0,0
23,1,3,3,77,68,2024,6,7.36,0,0,1
29,1,3,2,78,35,2025,12,3.34,0,0,1
22,0,4,4,67,51,2026,1,8.86,0,1,1
29,0,3,2,100,53,2025,1,14.05,0,1,1
26,1,0,1,47,15,2025,11,6.52,1,0,0
30,1,4,2,61,39,2025,10,14.33,0,1,1
23,1,4,1,90,1,2024,9,3.59,1,0,1
34,1,3,4,42,61,2024,9,8.3,0,1,0
34,1,0,3,72,69,2024,8,11.1,0,1,1
30,1,2,1,28,19,2026,3,14.97,0,1,0
20,0,0,0,81,3,2025,8,9.75,0,1,1
19,1,4,1,86,38,2026,5,4.62,0,0,1
20,1,1,2,97,19,2024,9,3.85,0,0,1
23,1,1,0,43,81,2024,12,14.62,1,1,0
33,1,2,4,67,61,2025,11,6.55,0,0,1
25,0,2,1,56,76,2026,1,14.5,1,1,0
35,0,3,4,110,84,2025,9,1.3,0,0,1
26,0,4,0,54,0,2025,11,1.08,0,0,0
25,0,1,1,38,55,2025,6,8.7,0,1,0
31,0,0,2,36,29,2026,4,11.75,1,1,0
25,1,4,3,82,74,2026,4,4.26,0,0,1
35,1,3,4,81,14,2025,4,13.54,0,1,1
26,1,2,4,42,72,2025,2,8.67,0,1,0
27,0,2,4,103,5,2024,9,11.94,0,1,1
19,0,4,2,78,12,2025,9,2.95,0,0,1
20,0,2,3,102,89,2026,3,8.02,0,1,1
26,1,4,3,63,74,2026,3,9.79,0,1,1
19,1,3,0,85,45,2024,12,11.22,0,1,1
35,1,2,3,44,33,2026,4,12.97,0,1,0
22,0,2,0,75,29,2025,9,9.91,1,1,1
27,1,4,1,57,86,2025,7,9.4,0,1,0
32,0,1,3,10,31,2025,10,5.65,0,0,0
31,0,0,3,90,6,2024,12,14.32,0,1,1
27,0,4,4,48,61,2024,12,12.86,1,1,0
24,1,4,0,76,69,2024,12,2.31,0,0,1
31,0,4,3,111,47,2025,6,12.16,1,1,1
18,1,0,0,113,81,2025,12,9.84,1,1,1
31,1,3,1,120,77,2025,11,7.84,0,0,1
21,0,3,1,85,31,2025,6,6.98,0,0,1
21,0,1,1,106,36,2025,3,7.47,0,0,1
23,0,0,1,113,46,2025,12,7.92,0,0,1
35,1,3,2,40,72,2026,5,9.11,0,1,0
24,1,3,0,15,80,2025,10,7.84,0,0,0
21,0,1,0,92,29,2026,4,9.99,1,1,1
18,1,2,2,41,7,2025,8,13.13,0,1,0
27,0,1,0,14,86,2026,1,12.85,0,1,0
23,1,2,2,115,86,2025,9,5.79,0,0,1
22,1,0,4,115,57,2025,5,3.69,0,0,1
20,0,2,2,93,64,2025,4,12.49,0,1,1
29,0,4,1,48,41,2025,7,11.38,0,1,0
22,1,0,0,61,76,2025,7,5.55,0,0,1
