Age,Gender_enc,Country,Current_Major,Opportunity_Duration,Apply_Lead_Days,Signup_Year,Signup_Month,engagement_score,churn
20,0,India,Cyber Security,84,39,2024,11,4.96,0
21,0,Nigeria,Information Systems,87,37,2024,5,2.42,0
33,0,United States,Computer Science,76,17,2024,6,5.19,0
32,1,Nigeria,Cyber Security,67,74,2024,9,12.49,0
31,1,Nigeria,Business Analytics,63,6,2024,10,10.47,1
27,1,Bangladesh,Business Analytics,28,36,2025,6,5.68,0
19,1,India,Computer Science,53,83,2026,2,6.7,0
32,1,India,Business Analytics,18,35,2024,11,3.86,1
26,0,Ghana,Cyber Security,20,80,2026,1,4.84,1
22,1,Nigeria,Computer Science,17,18,2025,11,11.86,0
32,0,Bangladesh,Business Analytics,38,53,2024,7,6.73,0
20,1,Nigeria,Data Science,108,66,2025,9,13.21,1
35,1,Nigeria,Cyber Security,23,22,2025,6,11.59,0
19,1,India,Business Analytics,86,64,2024,7,6.72,0
32,0,Ghana,Cyber Security,110,2,2025,12,4.94,1
34,0,Nigeria,Information Systems,114,12,2024,9,14.37,0
29,0,Ghana,Business Analytics,111,65,2025,7,12.36,0
30,1,Nigeria,Business Analytics,12,45,2024,11,9.39,0
26,1,India,Computer Science,30,48,2025,9,1.56,0
19,1,Ghana,Data Science,83,73,2025,3,6.49,0
28,1,Nigeria,Data Science,31,9,2024,12,8.47,0
34,0,India,Information Systems,110,90,2024,9,11.48,0
31,0,India,Cyber Security,97,70,2024,6,13.23,1
25,1,Ghana,Business Analytics,117,20,2024,5,6.91,1
33,1,Ghana,Data Science,71,19,2025,5,12.61,0
24,0,Bangladesh,Cyber Security,77,44,2025,9,5.11,0
19,0,United States,Computer Science,77,7,2025,7,14.59,0
23,0,Ghana,Computer Science,16,48,2026,4,14.41,1
23,1,Bangladesh,Information Systems,87,52,2025,12,4.2,0
25,0,India,Cyber Security,68,47,2025,10,14.51,0
29,1,Ghana,Information Systems,9,19,2025,6,10.8,0
24,0,Bangladesh,Information Systems,52,69,2024,7,4.73,1
25,1,Nigeria,Data Science,111,19,2024,12,11.24,0
28,0,Nigeria,Business Analytics,79,13,2026,3,9.27,0
